Year,Units,Series,federal state,GeoCode,county,Value
2009,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12066,oberspreewald-lausitz,45.3
2010,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12066,oberspreewald-lausitz,46.5
2011,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12066,oberspreewald-lausitz,50.0
2012,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12066,oberspreewald-lausitz,50.7
2013,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12066,oberspreewald-lausitz,55.0
2014,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12066,oberspreewald-lausitz,55.4
2015,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12066,oberspreewald-lausitz,59.0
2016,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12066,oberspreewald-lausitz,58.8
2017,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12066,oberspreewald-lausitz,58.7
2018,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12066,oberspreewald-lausitz,61.5
2019,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12066,oberspreewald-lausitz,63.4
2020,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12066,oberspreewald-lausitz,64.2
2021,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12066,oberspreewald-lausitz,
2006,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12067,oder-spree,
2007,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12067,oder-spree,
2008,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12067,oder-spree,
2009,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12067,oder-spree,49.7
2010,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12067,oder-spree,52.2
2011,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12067,oder-spree,55.3
2012,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12067,oder-spree,56.5
2013,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12067,oder-spree,56.7
2014,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12067,oder-spree,57.6
2015,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12067,oder-spree,58.0
2016,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12067,oder-spree,55.5
2017,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12067,oder-spree,57.7
2018,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12067,oder-spree,58.9
2019,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12067,oder-spree,60.2
2020,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12067,oder-spree,62.2
2021,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12067,oder-spree,
2022,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12067,oder-spree,
2006,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12067,oder-spree,
2007,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12067,oder-spree,
2008,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12067,oder-spree,
2009,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12067,oder-spree,49.7
2010,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12067,oder-spree,52.2
2011,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12067,oder-spree,55.3
2012,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12067,oder-spree,56.5
2013,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12067,oder-spree,56.7
2014,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12067,oder-spree,57.6
2015,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12067,oder-spree,58.0
2016,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12067,oder-spree,55.5
2017,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12067,oder-spree,57.7
2018,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12067,oder-spree,58.9
2019,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12067,oder-spree,60.2
2020,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12067,oder-spree,62.2
2021,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12067,oder-spree,
2006,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12068,ostprignitz-ruppin,
2007,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12068,ostprignitz-ruppin,
2008,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12068,ostprignitz-ruppin,
2009,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12068,ostprignitz-ruppin,41.3
2010,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12068,ostprignitz-ruppin,45.6
2011,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12068,ostprignitz-ruppin,45.1
2012,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12068,ostprignitz-ruppin,46.8
2013,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12068,ostprignitz-ruppin,50.7
2014,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12068,ostprignitz-ruppin,50.6
2015,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12068,ostprignitz-ruppin,53.6
2016,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12068,ostprignitz-ruppin,52.4
2017,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12068,ostprignitz-ruppin,50.8
2018,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12068,ostprignitz-ruppin,51.4
2019,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12068,ostprignitz-ruppin,55.4
2020,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12068,ostprignitz-ruppin,56.6
2021,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12068,ostprignitz-ruppin,
2022,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12068,ostprignitz-ruppin,
2006,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12068,ostprignitz-ruppin,
2007,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12068,ostprignitz-ruppin,
2008,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12068,ostprignitz-ruppin,
2009,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12068,ostprignitz-ruppin,41.3
2010,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12068,ostprignitz-ruppin,45.6
2011,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12068,ostprignitz-ruppin,45.1
2012,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12068,ostprignitz-ruppin,46.8
2013,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12068,ostprignitz-ruppin,50.7
2014,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12068,ostprignitz-ruppin,50.6
2015,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12068,ostprignitz-ruppin,53.6
2016,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12068,ostprignitz-ruppin,52.4
2017,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12068,ostprignitz-ruppin,50.8
2018,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12068,ostprignitz-ruppin,51.4
2019,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12068,ostprignitz-ruppin,55.4
2020,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12068,ostprignitz-ruppin,56.6
2021,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12068,ostprignitz-ruppin,
2006,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12069,potsdam-mittelmark,
2007,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12069,potsdam-mittelmark,
2008,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12069,potsdam-mittelmark,
2009,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12069,potsdam-mittelmark,55.2
2010,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12069,potsdam-mittelmark,59.7
2011,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12069,potsdam-mittelmark,61.0
2012,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12069,potsdam-mittelmark,63.3
2013,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12069,potsdam-mittelmark,66.2
2014,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12069,potsdam-mittelmark,67.8
2015,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12069,potsdam-mittelmark,68.1
2016,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12069,potsdam-mittelmark,69.0
2017,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12069,potsdam-mittelmark,68.6
2018,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12069,potsdam-mittelmark,69.4
2019,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12069,potsdam-mittelmark,70.7
2020,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12069,potsdam-mittelmark,74.0
2021,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12069,potsdam-mittelmark,
2022,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12069,potsdam-mittelmark,
2006,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12069,potsdam-mittelmark,
2007,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12069,potsdam-mittelmark,
2008,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12069,potsdam-mittelmark,
2009,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12069,potsdam-mittelmark,55.2
2010,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12069,potsdam-mittelmark,59.7
2011,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12069,potsdam-mittelmark,61.0
2012,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12069,potsdam-mittelmark,63.3
2013,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12069,potsdam-mittelmark,66.2
2014,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12069,potsdam-mittelmark,67.8
2015,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12069,potsdam-mittelmark,68.1
2016,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12069,potsdam-mittelmark,69.0
2017,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12069,potsdam-mittelmark,68.6
2018,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12069,potsdam-mittelmark,69.4
2019,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12069,potsdam-mittelmark,70.7
2020,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12069,potsdam-mittelmark,74.0
2021,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12069,potsdam-mittelmark,
2006,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12070,prignitz,
2007,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12070,prignitz,
2008,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12070,prignitz,
2009,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12070,prignitz,45.3
2010,percentage,all-day care provision for 3 to 5-year-old children,brandenburg,code12070,prignitz,47.3
